b'Date,Open,High,Low,Close,Volume,Adj Close
2016-08-19,775.00,777.099976,773.130005,775.419983,849900,775.419983
2016-08-18,780.01001,782.859985,777.00,777.50,718400,777.50
2016-08-17,777.320007,780.809998,773.530029,779.909973,921400,779.909973
2016-08-16,780.299988,780.97998,773.44397,777.140015,1027100,777.140015
2016-08-15,783.75,787.48999,780.109985,782.440002,936600,782.440002
2016-08-12,781.50,783.39502,780.400024,783.219971,738300,783.219971
2016-08-11,785.00,789.75,782.969971,784.849976,971100,784.849976
2016-08-10,783.75,786.812012,782.778015,784.679993,784500,784.679993
2016-08-09,781.099976,788.940002,780.570007,784.26001,1175400,784.26001
2016-08-08,782.00,782.630005,778.091003,781.76001,1107900,781.76001
2016-08-05,773.780029,783.039978,772.340027,782.219971,1801200,782.219971
2016-08-04,772.219971,774.070007,768.794983,771.609985,1140300,771.609985
2016-08-03,767.179993,773.210022,766.820007,773.179993,1287400,773.179993
2016-08-02,768.690002,775.840027,767.849976,771.070007,1784500,771.070007
2016-08-01,761.090027,780.429993,761.090027,772.880005,2700500,772.880005
2016-07-29,772.710022,778.549988,766.77002,768.789978,3841500,768.789978
2016-07-28,747.039978,748.650024,739.299988,745.909973,3530200,745.909973
2016-07-27,738.280029,744.460022,737.00,741.77002,1512500,741.77002
2016-07-26,739.039978,741.690002,734.27002,738.419983,1186700,738.419983
2016-07-25,740.669983,742.609985,737.50,739.77002,1032400,739.77002
2016-07-22,741.859985,743.23999,736.559998,742.73999,1259800,742.73999
2016-07-21,740.359985,741.690002,735.830994,738.630005,1026300,738.630005
'
